city,AQI,PM2.5,PM10,SO2,NO2,CO,O3,main_pollution,time
孝感市,229,179,216,14,16,1.8,52,PM2.5,2019-02-05 13:00:00
荆州市,275,225,306,23,16,1.3,61,PM2.5,2019-02-05 13:00:00
黄冈市,414,371,406,26,36,1.6,37,PM2.5,2019-02-05 13:00:00
咸宁市,115,87,115,11,15,0.9,54,PM2.5,2019-02-05 13:00:00
随州市,275,225,277,21,17,1.5,69,PM2.5,2019-02-05 13:00:00
恩施州,103,77,111,3,12,0.8,26,PM2.5,2019-02-05 13:00:00
长沙市,142,108,—,7,13,1.2,47,PM2.5,2019-02-05 13:00:00
株洲市,185,139,114,11,31,1.5,21,PM2.5,2019-02-05 13:00:00
湘潭市,200,150,138,18,26,1.3,38,PM2.5,2019-02-05 13:00:00
衡阳市,247,197,228,25,31,1.7,36,PM2.5,2019-02-05 13:00:00
邵阳市,196,147,181,15,17,1.4,44,PM2.5,2019-02-05 13:00:00
岳阳市,213,163,185,5,10,1.5,50,PM2.5,2019-02-05 13:00:00
常德市,77,56,80,11,3,0.9,73,PM2.5,2019-02-05 13:00:00
张家界市,119,90,122,13,10,1.0,56,PM2.5,2019-02-05 13:00:00
益阳市,117,88,98,6,16,1.4,54,PM2.5,2019-02-05 13:00:00
郴州市,132,100,142,21,15,1.5,67,PM2.5,2019-02-05 13:00:00
永州市,160,122,162,12,34,1.0,50,PM2.5,2019-02-05 13:00:00
怀化市,72,52,80,6,3,1.0,80,PM2.5,2019-02-05 13:00:00
娄底市,129,98,125,12,21,1.2,41,PM2.5,2019-02-05 13:00:00
湘西州,153,117,140,6,8,1.0,36,PM2.5,2019-02-05 13:00:00
广州市,50,35,46,5,14,0.8,86,—,2019-02-05 13:00:00
韶关市,110,83,87,18,16,1.3,53,PM2.5,2019-02-05 13:00:00
深圳市,40,28,37,6,8,0.8,86,—,2019-02-05 13:00:00
珠海市,51,33,51,5,11,1.0,84,PM10,2019-02-05 13:00:00
汕头市,79,58,70,10,11,1.0,87,PM2.5,2019-02-05 13:00:00
佛山市,51,30,52,6,10,0.7,71,PM10,2019-02-05 13:00:00
江门市,41,26,41,5,7,0.8,80,—,2019-02-05 13:00:00
湛江市,42,29,36,4,6,0.6,67,—,2019-02-05 13:00:00
茂名市,46,30,46,5,3,0.7,66,—,2019-02-05 13:00:00
肇庆市,58,41,56,7,8,0.6,67,PM2.5,2019-02-05 13:00:00
惠州市,48,25,48,9,8,0.8,86,—,2019-02-05 13:00:00
梅州市,82,60,82,7,8,0.9,48,PM2.5,2019-02-05 13:00:00
汕尾市,52,28,53,8,4,0.9,80,PM10,2019-02-05 13:00:00
河源市,46,25,46,8,8,0.8,70,—,2019-02-05 13:00:00
阳江市,35,24,35,4,4,0.9,74,—,2019-02-05 13:00:00
清远市,92,68,—,11,17,1.0,46,PM2.5,2019-02-05 13:00:00
东莞市,49,31,49,7,11,0.8,87,—,2019-02-05 13:00:00
中山市,38,26,35,5,4,0.7,83,—,2019-02-05 13:00:00
潮州市,72,52,67,9,4,1.1,72,PM2.5,2019-02-05 13:00:00
揭阳市,75,55,69,8,8,1.2,80,PM2.5,2019-02-05 13:00:00
云浮市,38,26,38,6,5,0.6,60,—,2019-02-05 13:00:00
南宁市,159,121,161,15,17,1.0,43,PM2.5,2019-02-05 13:00:00
柳州市,85,63,120,15,17,1.1,42,"PM10,PM2.5",2019-02-05 13:00:00
桂林市,193,145,185,18,27,1.1,51,PM2.5,2019-02-05 13:00:00
梧州市,168,127,145,21,13,1.1,69,PM2.5,2019-02-05 13:00:00
北海市,45,29,45,7,6,0.6,55,—,2019-02-05 13:00:00
防城港市,74,54,—,13,10,0.6,51,PM2.5,2019-02-05 13:00:00
钦州市,229,179,251,15,5,0.7,29,PM2.5,2019-02-05 13:00:00
贵港市,143,109,147,17,10,0.8,36,PM2.5,2019-02-05 13:00:00
玉林市,93,69,97,14,4,0.4,58,PM2.5,2019-02-05 13:00:00
百色市,54,38,—,6,6,1.0,32,PM2.5,2019-02-05 13:00:00
贺州市,163,124,160,16,12,0.6,64,PM2.5,2019-02-05 13:00:00
河池市,54,38,56,8,6,0.8,36,PM2.5,2019-02-05 13:00:00
来宾市,102,76,124,12,12,1.0,44,PM2.5,2019-02-05 13:00:00
崇左市,72,52,78,5,7,0.7,54,PM2.5,2019-02-05 13:00:00
海口市,36,25,27,6,7,0.4,42,—,2019-02-05 13:00:00
三亚市,17,8,10,4,3,0.4,54,—,2019-02-05 13:00:00
重庆市,88,65,85,18,26,1.0,65,PM2.5,2019-02-05 13:00:00
成都市,134,102,138,13,24,0.7,94,PM2.5,2019-02-05 13:00:00
自贡市,232,182,214,28,22,0.9,78,PM2.5,2019-02-05 13:00:00
攀枝花市,34,21,34,38,23,1.5,76,—,2019-02-05 13:00:00
泸州市,110,83,108,24,15,0.9,63,PM2.5,2019-02-05 13:00:00
德阳市,198,148,150,16,19,1.0,97,PM2.5,2019-02-05 13:00:00
绵阳市,202,152,202,10,22,0.7,82,PM2.5,2019-02-05 13:00:00
广元市,160,122,176,19,29,1.1,51,PM2.5,2019-02-05 13:00:00
遂宁市,186,140,182,15,14,0.7,75,PM2.5,2019-02-05 13:00:00
内江市,109,82,109,19,20,1.0,85,PM2.5,2019-02-05 13:00:00
乐山市,125,95,118,14,16,0.7,66,PM2.5,2019-02-05 13:00:00
南充市,175,132,167,4,17,0.9,65,PM2.5,2019-02-05 13:00:00
眉山市,163,124,174,19,16,0.8,87,PM2.5,2019-02-05 13:00:00
宜宾市,143,109,140,29,19,0.7,82,PM2.5,2019-02-05 13:00:00
广安市,186,140,169,19,20,1.1,59,PM2.5,2019-02-05 13:00:00
达州市,115,87,121,9,18,0.6,54,PM2.5,2019-02-05 13:00:00
雅安市,63,45,66,7,15,0.6,73,PM2.5,2019-02-05 13:00:00
巴中市,97,72,93,6,13,0.7,53,PM2.5,2019-02-05 13:00:00
资阳市,218,168,218,14,18,0.9,99,PM2.5,2019-02-05 13:00:00
阿坝州,32,22,28,11,3,1.0,68,—,2019-02-05 13:00:00
甘孜州,22,6,22,12,14,0.2,36,—,2019-02-05 13:00:00
凉山州,75,55,70,28,14,1.2,97,PM2.5,2019-02-05 13:00:00
贵阳市,60,42,69,17,10,0.7,78,PM10,2019-02-05 13:00:00
六盘水市,46,23,46,15,17,0.6,75,—,2019-02-05 13:00:00
遵义市,69,50,73,48,12,0.7,61,PM2.5,2019-02-05 13:00:00
安顺市,39,27,28,15,7,0.7,73,—,2019-02-05 13:00:00
铜仁地区,72,52,77,8,5,1.2,77,PM2.5,2019-02-05 13:00:00
黔西南州,72,52,65,4,6,0.8,48,PM2.5,2019-02-05 13:00:00
毕节市,29,20,29,12,5,0.6,78,—,2019-02-05 13:00:00
黔东南州,62,43,74,14,8,0.7,82,PM10,2019-02-05 13:00:00
黔南州,63,45,49,8,5,0.4,52,PM2.5,2019-02-05 13:00:00
昆明市,33,23,32,19,12,0.6,92,—,2019-02-05 13:00:00
曲靖市,104,78,94,28,15,1.0,77,PM2.5,2019-02-05 13:00:00
玉溪市,60,36,69,25,13,1.2,98,PM10,2019-02-05 13:00:00
保山市,84,45,118,9,8,0.4,96,PM10,2019-02-05 13:00:00
昭通市,35,24,28,10,6,0.7,107,—,2019-02-05 13:00:00
丽江市,39,5,39,9,4,0.6,78,—,2019-02-05 13:00:00
普洱市,30,21,28,4,8,0.4,88,—,2019-02-05 13:00:00
临沧市,72,52,57,10,6,0.7,86,PM2.5,2019-02-05 13:00:00
楚雄州,38,26,24,10,4,0.5,94,—,2019-02-05 13:00:00
红河州,32,18,27,17,3,0.4,102,—,2019-02-05 13:00:00
文山州,46,32,39,38,8,0.4,88,—,2019-02-05 13:00:00
西双版纳州,59,42,67,12,10,0.4,76,"PM10,PM2.5",2019-02-05 13:00:00
大理州,27,16,—,4,4,0.6,86,—,2019-02-05 13:00:00
德宏州,79,58,85,11,8,0.8,79,PM2.5,2019-02-05 13:00:00
怒江州,30,14,30,8,4,0.8,62,—,2019-02-05 13:00:00
迪庆州,37,22,37,6,5,0.5,86,—,2019-02-05 13:00:00
拉萨市,29,17,29,4,7,0.5,68,—,2019-02-05 13:00:00
昌都市,55,36,60,4,4,1.0,58,PM10,2019-02-05 13:00:00
山南市,28,16,28,2,5,0.6,68,—,2019-02-05 13:00:00
日喀则市,23,16,22,9,2,0.6,70,—,2019-02-05 13:00:00
那曲地区,46,32,42,4,2,0.6,62,—,2019-02-05 13:00:00
阿里地区,38,26,—,22,21,0.4,50,—,2019-02-05 13:00:00
林芝市,22,6,10,1,3,0.6,70,—,2019-02-05 13:00:00
西安市,290,240,299,34,36,1.4,77,PM2.5,2019-02-05 13:00:00
铜川市,94,70,103,25,14,0.9,97,PM2.5,2019-02-05 13:00:00
宝鸡市,162,123,179,14,34,1.2,74,PM2.5,2019-02-05 13:00:00
咸阳市,230,180,208,31,31,1.2,87,PM2.5,2019-02-05 13:00:00
渭南市,209,159,209,46,23,1.2,103,PM2.5,2019-02-05 13:00:00
延安市,63,38,76,38,40,1.2,46,PM10,2019-02-05 13:00:00
汉中市,149,114,165,20,12,1.3,53,PM2.5,2019-02-05 13:00:00
榆林市,58,26,66,12,15,0.3,76,PM10,2019-02-05 13:00:00
安康市,284,234,354,30,19,1.0,38,PM2.5,2019-02-05 13:00:00
商洛市,72,32,94,28,7,0.6,78,PM10,2019-02-05 13:00:00
兰州市,64,44,77,45,52,1.8,81,PM10,2019-02-05 13:00:00
嘉峪关市,56,22,62,14,12,0.6,88,PM10,2019-02-05 13:00:00
金昌市,53,22,55,162,14,0.8,82,PM10,2019-02-05 13:00:00
白银市,32,20,32,28,8,0.6,78,—,2019-02-05 13:00:00
天水市,56,38,62,40,26,0.6,66,PM10,2019-02-05 13:00:00
武威市,29,13,20,10,8,0.4,92,—,2019-02-05 13:00:00
张掖市,30,21,21,16,6,0.4,80,—,2019-02-05 13:00:00
平凉市,56,36,62,8,12,0.6,94,PM10,2019-02-05 13:00:00
酒泉市,40,20,40,27,14,0.9,92,—,2019-02-05 13:00:00
庆阳市,55,33,60,12,12,0.4,86,PM10,2019-02-05 13:00:00
定西市,56,38,62,39,10,0.8,80,PM10,2019-02-05 13:00:00
陇南市,64,46,46,18,14,0.8,78,PM2.5,2019-02-05 13:00:00
临夏州,33,14,33,74,14,0.6,83,—,2019-02-05 13:00:00
甘南州,69,40,88,38,12,0.5,94,PM10,2019-02-05 13:00:00
西宁市,97,72,95,24,43,1.4,54,PM2.5,2019-02-05 13:00:00
海东地区,60,39,70,29,12,1.1,77,PM10,2019-02-05 13:00:00
海北州,—,—,—,—,—,—,—,—,2019-02-05 13:00:00
黄南州,56,15,61,12,7,0.8,60,PM10,2019-02-05 13:00:00
海南州,32,11,28,9,3,0.4,100,—,2019-02-05 13:00:00
果洛州,55,20,60,25,5,0.6,97,PM10,2019-02-05 13:00:00
玉树州,150,115,160,18,22,1.0,84,PM2.5,2019-02-05 13:00:00
海西州,40,14,40,19,14,1.2,88,—,2019-02-05 13:00:00
银川市,36,16,36,7,9,0.6,87,—,2019-02-05 13:00:00
石嘴山市,70,32,90,24,17,1.0,66,PM10,2019-02-05 13:00:00
吴忠市,27,9,27,5,4,0.3,83,—,2019-02-05 13:00:00
固原市,47,24,47,10,7,0.6,92,—,2019-02-05 13:00:00
中卫市,47,22,47,16,12,0.5,78,—,2019-02-05 13:00:00
乌鲁木齐市,242,192,329,17,50,2.2,43,PM2.5,2019-02-05 13:00:00
克拉玛依市,80,59,76,8,34,1.3,52,PM2.5,2019-02-05 13:00:00
吐鲁番地区,166,67,282,24,32,1.9,43,PM10,2019-02-05 13:00:00
哈密地区,340,79,452,34,19,2.8,40,PM10,2019-02-05 13:00:00
昌吉州,298,248,282,29,38,1.5,44,PM2.5,2019-02-05 13:00:00
博州,108,74,165,37,33,1.2,40,PM10,2019-02-05 13:00:00
库尔勒市,368,93,474,11,13,0.9,72,PM10,2019-02-05 13:00:00
阿克苏地区,179,69,308,18,28,1.2,40,PM10,2019-02-05 13:00:00
克州,154,76,257,5,10,1.6,43,PM10,2019-02-05 13:00:00
喀什地区,388,226,490,22,58,3.6,23,PM10,2019-02-05 13:00:00
和田地区,194,79,338,37,35,0.5,44,PM10,2019-02-05 13:00:00
伊犁哈萨克州,117,88,105,54,48,2.2,49,PM2.5,2019-02-05 13:00:00
塔城地区,55,39,40,9,19,2.0,68,PM2.5,2019-02-05 13:00:00
阿勒泰地区,19,13,14,1,4,0.5,59,—,2019-02-05 13:00:00
石河子市,300,250,291,27,38,2.2,43,PM2.5,2019-02-05 13:00:00
五家渠市,195,146,196,22,16,1.9,68,PM2.5,2019-02-05 13:00:00
北京市,148,101,245,9,18,1.0,53,PM10,2019-02-05 14:00:00
天津市,89,37,128,10,11,0.7,55,PM10,2019-02-05 14:00:00
石家庄市,158,120,224,30,27,1.4,91,PM2.5,2019-02-05 14:00:00
唐山市,113,44,176,33,27,1.5,42,PM10,2019-02-05 14:00:00
秦皇岛市,55,29,60,11,7,0.8,68,PM10,2019-02-05 14:00:00
邯郸市,254,204,325,44,31,2.0,89,PM2.5,2019-02-05 14:00:00
邢台市,198,148,241,44,23,1.4,86,PM2.5,2019-02-05 14:00:00
保定市,183,138,238,23,26,1.9,65,PM2.5,2019-02-05 14:00:00
承德市,119,80,187,22,14,1.1,76,PM10,2019-02-05 14:00:00
沧州市,162,123,192,25,13,1.0,57,PM2.5,2019-02-05 14:00:00
廊坊市,163,58,275,7,8,0.7,51,PM10,2019-02-05 14:00:00
衡水市,321,271,382,23,34,2.2,58,PM2.5,2019-02-05 14:00:00
张家口市,144,110,222,36,26,1.6,76,PM2.5,2019-02-05 14:00:00
太原市,200,150,218,171,45,2.0,70,PM2.5,2019-02-05 14:00:00
大同市,69,31,88,14,7,0.4,83,PM10,2019-02-05 14:00:00
阳泉市,52,30,54,28,8,0.4,90,PM10,2019-02-05 14:00:00
长治市,77,56,101,15,18,0.8,102,PM2.5,2019-02-05 14:00:00
晋城市,202,152,144,32,24,2.1,104,PM2.5,2019-02-05 14:00:00
朔州市,72,17,93,5,3,0.4,93,PM10,2019-02-05 14:00:00
晋中市,132,100,156,156,35,1.6,69,PM2.5,2019-02-05 14:00:00
运城市,262,212,290,57,26,2.6,72,PM2.5,2019-02-05 14:00:00
忻州市,69,43,87,22,12,0.5,95,PM10,2019-02-05 14:00:00
临汾市,216,166,225,100,31,2.7,108,PM2.5,2019-02-05 14:00:00
吕梁市,112,84,100,74,19,1.3,69,PM2.5,2019-02-05 14:00:00
呼和浩特市,123,93,188,28,20,1.1,78,PM2.5,2019-02-05 14:00:00
包头市,133,65,215,18,13,0.8,73,PM10,2019-02-05 14:00:00
乌海市,60,18,70,6,4,0.5,89,PM10,2019-02-05 14:00:00
赤峰市,54,34,58,35,18,0.7,50,PM10,2019-02-05 14:00:00
通辽市,26,16,26,16,8,0.4,67,—,2019-02-05 14:00:00
鄂尔多斯市,91,27,131,7,7,0.4,90,PM10,2019-02-05 14:00:00
呼伦贝尔市,35,20,35,4,4,0.4,66,—,2019-02-05 14:00:00
巴彦淖尔市,106,30,162,6,4,0.5,82,PM10,2019-02-05 14:00:00
乌兰察布市,500,480,630,23,6,0.2,92,PM10,2019-02-05 14:00:00
兴安盟,25,12,25,4,5,0.1,71,—,2019-02-05 14:00:00
锡林郭勒盟,65,16,80,10,2,0.2,62,PM10,2019-02-05 14:00:00
阿拉善盟,36,6,36,7,5,0.5,90,—,2019-02-05 14:00:00
沈阳市,59,40,68,16,12,0.6,61,PM10,2019-02-05 14:00:00
大连市,94,69,137,12,12,0.7,60,PM10,2019-02-05 14:00:00
瓦房店市,192,144,232,34,30,1.2,34,PM2.5,2019-02-05 14:00:00
鞍山市,87,64,124,32,25,0.8,53,"PM10,PM2.5",2019-02-05 14:00:00
抚顺市,39,27,32,10,4,0.4,76,—,2019-02-05 14:00:00
本溪市,67,48,78,14,14,1.0,59,PM2.5,2019-02-05 14:00:00
丹东市,63,45,69,19,13,0.7,52,PM2.5,2019-02-05 14:00:00
锦州市,43,30,38,20,10,0.7,62,—,2019-02-05 14:00:00
营口市,68,44,86,16,18,0.4,52,PM10,2019-02-05 14:00:00
阜新市,53,19,56,44,6,0.4,69,PM10,2019-02-05 14:00:00
辽阳市,63,45,63,18,13,0.7,54,PM2.5,2019-02-05 14:00:00
盘锦市,58,41,60,9,10,0.7,67,PM2.5,2019-02-05 14:00:00
铁岭市,59,42,64,8,9,0.4,71,PM2.5,2019-02-05 14:00:00
朝阳市,36,25,32,14,3,0.6,74,—,2019-02-05 14:00:00
葫芦岛市,38,22,38,24,11,0.7,68,—,2019-02-05 14:00:00
长春市,35,24,31,12,9,0.4,74,—,2019-02-05 14:00:00
吉林市,35,18,35,18,12,0.8,74,—,2019-02-05 14:00:00
四平市,60,43,61,5,4,0.5,66,PM2.5,2019-02-05 14:00:00
辽源市,82,60,69,61,6,0.6,74,PM2.5,2019-02-05 14:00:00
通化市,51,30,52,12,14,0.6,56,PM10,2019-02-05 14:00:00
白山市,44,15,44,14,5,0.7,74,—,2019-02-05 14:00:00
松原市,78,57,89,4,4,0.3,78,PM2.5,2019-02-05 14:00:00
白城市,92,68,82,10,10,0.5,53,PM2.5,2019-02-05 14:00:00
延边州,38,23,38,9,5,0.6,77,—,2019-02-05 14:00:00
哈尔滨市,29,14,29,10,6,0.6,69,—,2019-02-05 14:00:00
齐齐哈尔市,24,12,24,16,5,0.6,64,—,2019-02-05 14:00:00
鸡西市,55,30,60,3,6,0.5,69,PM10,2019-02-05 14:00:00
鹤岗市,47,24,47,8,3,0.4,68,—,2019-02-05 14:00:00
双鸭山市,71,42,91,6,5,0.4,62,PM10,2019-02-05 14:00:00
大庆市,31,11,31,17,8,0.3,72,—,2019-02-05 14:00:00
伊春市,36,16,36,6,4,0.4,62,—,2019-02-05 14:00:00
佳木斯市,57,40,60,6,4,0.8,68,PM2.5,2019-02-05 14:00:00
七台河市,79,41,108,10,6,0.4,68,PM10,2019-02-05 14:00:00
牡丹江市,50,29,50,2,5,0.3,77,—,2019-02-05 14:00:00
黑河市,28,14,28,6,4,0.5,61,—,2019-02-05 14:00:00
绥化市,23,8,23,4,10,0.4,54,—,2019-02-05 14:00:00
大兴安岭地区,25,17,14,7,5,0.4,66,—,2019-02-05 14:00:00
上海市,62,18,73,7,18,0.4,81,PM10,2019-02-05 14:00:00
南京市,129,98,137,14,26,1.2,71,PM2.5,2019-02-05 14:00:00
无锡市,78,57,91,8,12,0.9,87,PM2.5,2019-02-05 14:00:00
江阴市,83,61,94,12,17,0.9,104,PM2.5,2019-02-05 14:00:00
宜兴市,147,112,130,14,10,1.7,76,PM2.5,2019-02-05 14:00:00
徐州市,178,134,188,14,19,1.2,97,PM2.5,2019-02-05 14:00:00
常州市,127,96,143,10,18,1.0,92,PM2.5,2019-02-05 14:00:00
溧阳市,193,145,168,8,17,1.4,88,PM2.5,2019-02-05 14:00:00
金坛市,137,104,128,12,14,1.6,90,PM2.5,2019-02-05 14:00:00
苏州市,65,47,76,7,18,0.6,80,PM2.5,2019-02-05 14:00:00
常熟市,67,42,84,16,23,0.6,87,PM10,2019-02-05 14:00:00
张家港市,69,50,80,6,12,0.8,103,PM2.5,2019-02-05 14:00:00
昆山市,72,30,93,8,16,0.8,83,PM10,2019-02-05 14:00:00
吴江市,90,67,88,11,14,0.9,98,PM2.5,2019-02-05 14:00:00
太仓市,64,31,77,11,8,0.6,90,PM10,2019-02-05 14:00:00
南通市,66,37,82,10,14,0.4,76,PM10,2019-02-05 14:00:00
海门市,62,21,73,13,20,0.9,94,PM10,2019-02-05 14:00:00
连云港市,149,114,180,16,14,1.1,91,PM2.5,2019-02-05 14:00:00
淮安市,134,102,192,10,17,1.1,81,PM2.5,2019-02-05 14:00:00
盐城市,79,58,100,8,6,0.6,91,PM2.5,2019-02-05 14:00:00
扬州市,135,103,134,11,22,0.9,80,PM2.5,2019-02-05 14:00:00
镇江市,129,98,123,10,18,0.9,80,PM2.5,2019-02-05 14:00:00
句容市,137,104,138,6,12,1.3,92,PM2.5,2019-02-05 14:00:00
泰州市,109,82,120,12,21,1.0,91,PM2.5,2019-02-05 14:00:00
宿迁市,176,133,214,15,21,1.2,96,PM2.5,2019-02-05 14:00:00
杭州市,159,121,159,7,21,1.3,58,PM2.5,2019-02-05 14:00:00
富阳市,208,158,197,2,10,2.0,27,PM2.5,2019-02-05 14:00:00
临安市,183,138,181,3,4,1.8,24,PM2.5,2019-02-05 14:00:00
宁波市,47,22,47,7,23,0.7,65,—,2019-02-05 14:00:00
温州市,71,48,91,8,12,0.8,90,PM10,2019-02-05 14:00:00
嘉兴市,76,54,102,6,15,0.7,75,PM10,2019-02-05 14:00:00
湖州市,158,120,138,9,15,1.2,104,PM2.5,2019-02-05 14:00:00
诸暨市,168,127,152,3,11,1.3,64,PM2.5,2019-02-05 14:00:00
金华市,97,72,91,7,11,0.9,78,PM2.5,2019-02-05 14:00:00
义乌市,25,—,—,—,—,—,79,—,2019-02-05 14:00:00
衢州市,145,111,145,6,11,1.2,62,PM2.5,2019-02-05 14:00:00
舟山市,50,28,50,4,26,0.5,53,—,2019-02-05 14:00:00
台州市,72,52,92,7,9,0.4,88,PM2.5,2019-02-05 14:00:00
丽水市,57,38,63,7,6,1.0,76,PM10,2019-02-05 14:00:00
绍兴市,158,120,152,6,20,1.3,45,PM2.5,2019-02-05 14:00:00
合肥市,269,219,204,20,21,1.1,68,PM2.5,2019-02-05 14:00:00
芜湖市,262,212,230,18,49,1.6,37,PM2.5,2019-02-05 14:00:00
蚌埠市,170,129,186,13,18,1.2,96,PM2.5,2019-02-05 14:00:00
淮南市,196,147,204,16,16,1.1,83,PM2.5,2019-02-05 14:00:00
马鞍山市,290,240,258,31,52,3.0,54,PM2.5,2019-02-05 14:00:00
淮北市,132,100,149,17,18,1.0,98,PM2.5,2019-02-05 14:00:00
铜陵市,228,178,171,24,33,1.9,42,PM2.5,2019-02-05 14:00:00
安庆市,296,246,324,19,16,1.4,56,PM2.5,2019-02-05 14:00:00
黄山市,94,70,99,7,14,1.0,39,PM2.5,2019-02-05 14:00:00
滁州市,201,151,204,16,27,1.4,72,PM2.5,2019-02-05 14:00:00
阜阳市,117,88,110,6,13,0.6,104,PM2.5,2019-02-05 14:00:00
宿州市,128,97,148,9,16,0.9,101,PM2.5,2019-02-05 14:00:00
六安市,127,96,136,6,11,0.6,70,PM2.5,2019-02-05 14:00:00
亳州市,242,192,378,14,18,1.0,116,PM2.5,2019-02-05 14:00:00
池州市,205,155,166,6,32,1.2,34,PM2.5,2019-02-05 14:00:00
宣城市,119,90,98,7,16,1.0,67,PM2.5,2019-02-05 14:00:00
福州市,74,54,70,5,10,1.0,96,PM2.5,2019-02-05 14:00:00
厦门市,139,106,128,8,27,1.0,58,PM2.5,2019-02-05 14:00:00
莆田市,74,54,64,8,14,1.0,79,PM2.5,2019-02-05 14:00:00
三明市,62,44,56,19,19,1.7,34,PM2.5,2019-02-05 14:00:00
泉州市,103,77,—,10,15,0.8,86,PM2.5,2019-02-05 14:00:00
漳州市,94,70,101,3,10,1.0,80,PM2.5,2019-02-05 14:00:00
南平市,54,38,44,14,8,1.0,60,PM2.5,2019-02-05 14:00:00
龙岩市,39,27,30,6,5,0.6,67,—,2019-02-05 14:00:00
宁德市,137,104,95,14,12,1.2,82,PM2.5,2019-02-05 14:00:00
南昌市,55,39,53,3,12,0.8,42,PM2.5,2019-02-05 14:00:00
景德镇市,78,57,76,5,21,0.8,25,PM2.5,2019-02-05 14:00:00
萍乡市,125,95,110,9,16,1.6,29,PM2.5,2019-02-05 14:00:00
九江市,216,166,202,18,19,0.9,36,PM2.5,2019-02-05 14:00:00
新余市,57,40,59,6,14,0.8,46,PM2.5,2019-02-05 14:00:00
鹰潭市,169,128,—,8,10,0.8,34,PM2.5,2019-02-05 14:00:00
赣州市,77,56,75,20,16,1.8,68,PM2.5,2019-02-05 14:00:00
吉安市,139,106,149,6,13,0.8,54,PM2.5,2019-02-05 14:00:00
宜春市,98,73,85,12,18,1.4,36,PM2.5,2019-02-05 14:00:00
抚州市,120,91,137,6,6,1.2,33,PM2.5,2019-02-05 14:00:00
上饶市,139,106,147,8,12,1.1,53,PM2.5,2019-02-05 14:00:00
济南市,145,111,179,24,18,0.9,111,PM2.5,2019-02-05 14:00:00
章丘市,117,88,155,35,12,1.4,112,PM2.5,2019-02-05 14:00:00
青岛市,107,72,164,13,17,0.9,87,PM10,2019-02-05 14:00:00
胶州市,158,120,198,11,20,1.4,109,PM2.5,2019-02-05 14:00:00
即墨市,122,92,182,12,14,1.0,112,PM2.5,2019-02-05 14:00:00
平度市,117,88,162,19,12,1.4,124,PM2.5,2019-02-05 14:00:00
胶南市,139,106,177,16,13,1.1,90,PM2.5,2019-02-05 14:00:00
莱西市,134,102,174,22,8,1.2,106,PM2.5,2019-02-05 14:00:00
淄博市,108,81,142,34,19,1.1,119,PM2.5,2019-02-05 14:00:00
枣庄市,178,134,220,23,18,1.1,108,PM2.5,2019-02-05 14:00:00
东营市,123,93,163,31,13,1.0,122,PM2.5,2019-02-05 14:00:00
烟台市,94,70,138,9,10,0.7,112,"PM10,PM2.5",2019-02-05 14:00:00
莱州市,93,54,136,17,11,1.4,117,PM10,2019-02-05 14:00:00
蓬莱市,137,104,164,14,18,1.4,105,PM2.5,2019-02-05 14:00:00
招远市,109,82,146,19,18,1.2,114,PM2.5,2019-02-05 14:00:00
潍坊市,93,69,132,16,14,0.7,105,PM2.5,2019-02-05 14:00:00
寿光市,95,66,140,26,15,0.8,107,PM10,2019-02-05 14:00:00
济宁市,212,162,246,26,19,1.6,94,PM2.5,2019-02-05 14:00:00
泰安市,148,113,175,28,20,1.1,116,PM2.5,2019-02-05 14:00:00
威海市,84,52,118,6,11,0.7,105,PM10,2019-02-05 14:00:00
文登市,80,30,110,5,10,0.9,113,PM10,2019-02-05 14:00:00
荣成市,65,26,80,7,13,0.6,114,PM10,2019-02-05 14:00:00
乳山市,81,30,112,8,12,0.8,112,PM10,2019-02-05 14:00:00
日照市,175,132,241,12,26,0.6,74,PM2.5,2019-02-05 14:00:00
莱芜市,117,88,151,35,18,1.0,123,PM2.5,2019-02-05 14:00:00
临沂市,189,142,222,33,28,1.9,98,PM2.5,2019-02-05 14:00:00
德州市,456,395,556,31,42,2.3,47,PM10,2019-02-05 14:00:00
聊城市,277,227,312,25,19,1.2,90,PM2.5,2019-02-05 14:00:00
滨州市,145,111,174,37,19,1.5,126,PM2.5,2019-02-05 14:00:00
菏泽市,296,246,315,28,14,1.1,101,PM2.5,2019-02-05 14:00:00
郑州市,160,122,186,20,24,0.8,88,PM2.5,2019-02-05 14:00:00
开封市,250,200,280,30,20,1.0,107,PM2.5,2019-02-05 14:00:00
洛阳市,220,170,210,25,36,0.8,64,PM2.5,2019-02-05 14:00:00
平顶山市,182,137,193,26,19,1.1,100,PM2.5,2019-02-05 14:00:00
安阳市,341,291,404,43,32,2.0,112,PM2.5,2019-02-05 14:00:00
鹤壁市,289,239,319,48,41,1.9,119,PM2.5,2019-02-05 14:00:00
新乡市,327,277,363,51,31,2.2,123,PM2.5,2019-02-05 14:00:00
焦作市,376,326,446,60,27,1.6,81,PM2.5,2019-02-05 14:00:00
濮阳市,427,390,450,36,25,2.0,102,PM2.5,2019-02-05 14:00:00
许昌市,190,143,189,21,14,1.2,102,PM2.5,2019-02-05 14:00:00
漯河市,193,145,216,26,14,0.8,111,PM2.5,2019-02-05 14:00:00
三门峡市,69,44,88,19,19,0.6,57,PM10,2019-02-05 14:00:00
南阳市,264,214,278,21,18,1.2,81,PM2.5,2019-02-05 14:00:00
商丘市,248,198,298,24,12,1.1,104,PM2.5,2019-02-05 14:00:00
